TP,FP,TN,FN,TPR,FPR,TNR,FNR,est_p,est_r,est_f1,Gran,est_plagDetect
1,0,10999,0,1,0,1,0,1,1,0.926046211558073,1,0.926046211558073
1,0,10999,0,1,0,1,0,1,1,0.868221168884029,1,0.868221168884029
1,0,10999,0,1,0,1,0,1,1,0.881358545727335,1,0.881358545727335
1,0,10999,0,1,0,1,0,1,1,0.876706715991086,1,0.876706715991086
1,0,10999,0,1,0,1,0,1,1,0.849829015367567,1,0.849829015367567
1,0,10999,0,1,0,1,0,1,1,0.869108660410339,1,0.869108660410339
1,0,10999,0,1,0,1,0,1,1,0.828096455906009,1,0.828096455906009
0,10,10989,1,0,0.000909173561232839,0.999090826438767,1,0,0,0.831959667175711,1,0.831959667175711
1,0,10999,0,1,0,1,0,1,1,0.87712891539047,1,0.87712891539047
1,0,10999,0,1,0,1,0,1,1,0.91316863438483,1,0.91316863438483
1,0,10999,0,1,0,1,0,1,1,0.887500356471163,1,0.887500356471163
1,0,10999,0,1,0,1,0,1,1,0.894164688827223,1,0.894164688827223
1,0,10999,0,1,0,1,0,1,1,0.861650982965854,1,0.861650982965854
1,0,10999,0,1,0,1,0,1,1,0.871207469714442,1,0.871207469714442
1,0,10999,0,1,0,1,0,1,1,0.87100592001162,1,0.87100592001162
1,0,10999,0,1,0,1,0,1,1,0.849206286868374,1,0.849206286868374
1,0,10999,0,1,0,1,0,1,1,0.848341272893585,1,0.848341272893585
1,0,10999,0,1,0,1,0,1,1,0.896592384806411,1,0.896592384806411
1,0,10999,0,1,0,1,0,1,1,0.820485618627421,1,0.820485618627421
1,0,10999,0,1,0,1,0,1,1,0.853711372925695,1,0.853711372925695
1,0,10999,0,1,0,1,0,1,1,0.920721210071302,1,0.920721210071302
0,7,10992,1,0,0.000636421492862988,0.999363578507137,1,0,0,0.886325649595791,1,0.886325649595791
1,0,10999,0,1,0,1,0,1,1,0.849799432539603,1,0.849799432539603
1,0,10999,0,1,0,1,0,1,1,0.897460926605112,1,0.897460926605112
1,0,10999,0,1,0,1,0,1,1,0.87046568184878,1,0.87046568184878
1,0,10999,0,1,0,1,0,1,1,0.781985550456259,1,0.781985550456259
1,0,10999,0,1,0,1,0,1,1,0.886301753041992,1,0.886301753041992
1,0,10999,0,1,0,1,0,1,1,0.868205785372311,1,0.868205785372311
1,0,10999,0,1,0,1,0,1,1,0.902555574331105,1,0.902555574331105
1,0,10999,0,1,0,1,0,1,1,0.864159934064177,1,0.864159934064177
1,0,10999,0,1,0,1,0,1,1,0.827333408188467,1,0.827333408188467
1,0,10999,0,1,0,1,0,1,1,0.900641275621561,1,0.900641275621561
1,0,10999,0,1,0,1,0,1,1,0.89898364678448,1,0.89898364678448
1,0,10999,0,1,0,1,0,1,1,0.853101962306958,1,0.853101962306958
1,0,10999,0,1,0,1,0,1,1,0.866266152584473,1,0.866266152584473
1,0,10999,0,1,0,1,0,1,1,0.810012581308941,1,0.810012581308941
1,0,10999,0,1,0,1,0,1,1,0.802241453440205,1,0.802241453440205
1,0,10999,0,1,0,1,0,1,1,0.901844455197308,1,0.901844455197308
1,0,10999,0,1,0,1,0,1,1,0.864874399980717,1,0.864874399980717
1,0,10999,0,1,0,1,0,1,1,0.842789744363977,1,0.842789744363977
1,0,10999,0,1,0,1,0,1,1,0.874089912790647,1,0.874089912790647
1,0,10999,0,1,0,1,0,1,1,0.834585161604808,1,0.834585161604808
1,0,10999,0,1,0,1,0,1,1,0.884626334890299,1,0.884626334890299
1,0,10999,0,1,0,1,0,1,1,0.8976932257955,1,0.8976932257955
1,0,10999,0,1,0,1,0,1,1,0.836521933900366,1,0.836521933900366
1,0,10999,0,1,0,1,0,1,1,0.890257430444106,1,0.890257430444106
1,0,10999,0,1,0,1,0,1,1,0.862877540308197,1,0.862877540308197
1,0,10999,0,1,0,1,0,1,1,0.883761214106727,1,0.883761214106727
1,0,10999,0,1,0,1,0,1,1,0.886743245848186,1,0.886743245848186
1,0,10999,0,1,0,1,0,1,1,0.895414046083476,1,0.895414046083476
1,0,10999,0,1,0,1,0,1,1,0.837801226138504,1,0.837801226138504
1,0,10999,0,1,0,1,0,1,1,0.904175714790486,1,0.904175714790486
1,0,10999,0,1,0,1,0,1,1,0.856217113842668,1,0.856217113842668
1,0,10999,0,1,0,1,0,1,1,0.80601992731385,1,0.80601992731385
1,0,10999,0,1,0,1,0,1,1,0.878403923821311,1,0.878403923821311
1,0,10999,0,1,0,1,0,1,1,0.907606431414411,1,0.907606431414411
1,0,10999,0,1,0,1,0,1,1,0.837271887616298,1,0.837271887616298
1,0,10999,0,1,0,1,0,1,1,0.857733469244887,1,0.857733469244887
1,0,10999,0,1,0,1,0,1,1,0.846541753445682,1,0.846541753445682
1,0,10999,0,1,0,1,0,1,1,0.888137135393269,1,0.888137135393269
1,0,10999,0,1,0,1,0,1,1,0.9186414168132,1,0.9186414168132
1,0,10999,0,1,0,1,0,1,1,0.844783176700207,1,0.844783176700207
1,0,10999,0,1,0,1,0,1,1,0.838500181091726,1,0.838500181091726
1,0,10999,0,1,0,1,0,1,1,0.852985609377114,1,0.852985609377114
1,0,10999,0,1,0,1,0,1,1,0.85965304411445,1,0.85965304411445
1,0,10999,0,1,0,1,0,1,1,0.815705143285035,1,0.815705143285035
1,0,10999,0,1,0,1,0,1,1,0.891939896788306,1,0.891939896788306
1,0,10999,0,1,0,1,0,1,1,0.866847518190647,1,0.866847518190647
